INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT
228798151,2021-05-27,21:30:00,Queens,105
219559682,2020-10-21,21:36:00,Brooklyn,81
234756217,2021-10-09,20:17:00,Brooklyn,71
230311079,2021-07-01,02:44:00,Brooklyn,73
225297069,2021-03-07,21:17:00,Brooklyn,71
215767018,2020-07-24,01:30:00,Brooklyn,78
165264362,2017-05-27,12:00:00,Queens,105
174579538,2018-02-08,20:16:00,Staten Island,120
235757726,2021-10-31,14:24:00,Brooklyn,79
233762539,2021-09-18,19:41:00,Manhattan,23
166268793,2017-06-20,22:30:00,Brooklyn,73
226500707,2021-04-04,23:15:00,Brooklyn,75
214729488,2020-06-29,20:56:00,Brooklyn,83
230418793,2021-07-02,23:13:00,Bronx,47
224817400,2021-02-24,14:00:00,Manhattan,28
171866986,2017-11-21,22:25:00,Brooklyn,75
211767651,2020-04-05,03:19:00,Brooklyn,67
173914520,2018-01-22,22:50:00,Bronx,40
201384969,2019-08-20,21:25:00,Brooklyn,73
235964022,2021-11-05,22:10:00,Brooklyn,67
178830276,2018-05-01,11:00:00,Bronx,52
166413154,2017-06-25,02:02:00,Manhattan,23
227950667,2021-05-09,19:43:00,Manhattan,25
226654026,2021-04-07,02:07:00,Manhattan,14
204458419,2019-11-02,10:37:00,Bronx,47
236325239,2021-11-15,17:55:00,Brooklyn,71
215767017,2020-07-24,17:32:00,Brooklyn,71
174579221,2018-02-09,00:12:00,Brooklyn,67
190170259,2018-11-19,00:05:00,Bronx,47
234208836,2021-09-28,20:40:00,Manhattan,24
168461315,2017-08-24,22:33:00,Brooklyn,76
237508167,2021-12-07,21:10:00,Bronx,48
182363095,2018-05-06,20:57:00,Brooklyn,73
197997725,2019-06-03,07:07:00,Brooklyn,75
199247701,2019-07-03,00:04:00,Queens,114
168080334,2017-08-12,23:34:00,Brooklyn,71
222075197,2020-12-20,15:08:00,Queens,103
169924413,2017-09-29,19:30:00,Bronx,49
217077237,2020-08-26,18:15:00,Queens,113
229507142,2021-06-11,22:50:00,Queens,113
229507546,2021-06-12,14:24:00,Bronx,41
160509155,2017-01-21,19:43:00,Brooklyn,73
226654025,2021-04-07,01:08:00,Bronx,40
236362255,2021-11-16,08:33:00,Manhattan,28
231635823,2021-07-30,16:30:00,Queens,113
235839217,2021-11-02,09:06:00,Bronx,52
186606589,2018-08-17,19:57:00,Brooklyn,73
229540933,2021-06-14,22:19:00,Brooklyn,67
235116950,2021-10-17,14:02:00,Bronx,49
238009968,2021-12-18,00:15:00,Brooklyn,62
168306062,2017-08-19,17:15:00,Brooklyn,73
216692583,2020-08-17,04:10:00,Manhattan,24
228109390,2021-05-12,23:11:00,Brooklyn,83
238344522,2021-12-27,15:48:00,Brooklyn,73
179645492,2018-05-02,23:56:00,Brooklyn,73
229507545,2021-06-12,05:51:00,Bronx,41
213922505,2020-06-05,19:35:00,Brooklyn,72
166951006,2017-07-11,23:10:00,Brooklyn,70
216651448,2020-08-15,18:30:00,Manhattan,34
