ID,INCIDENT_KEY,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE
1,228798151,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
2,219559682,True,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
3,234756217,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
4,230311079,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
5,225297069,False,25-44,M,BLACK,25-44,M,WHITE
6,215767018,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
7,165264362,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
8,174579538,False,18-24,M,BLACK HISPANIC,45-64,M,BLACK
9,235757726,True,25-44,M,BLACK,18-24,M,BLACK
10,233762539,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC
11,166268793,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
12,226500707,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
13,214729488,False,25-44,M,WHITE HISPANIC,45-64,M,BLACK
14,230418793,False,25-44,M,BLACK,25-44,M,BLACK
15,224817400,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
16,171866986,True,18-24,M,BLACK,25-44,F,BLACK
17,211767651,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
18,173914520,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK HISPANIC
19,201384969,True,25-44,M,BLACK,25-44,M,BLACK
20,235964022,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
21,178830276,True,25-44,M,BLACK,25-44,M,BLACK
22,166413154,False,18-24,M,BLACK,18-24,M,BLACK
23,227950667,False,UNKNOWN,U,UNKNOWN,45-64,M,BLACK HISPANIC
24,226654026,False,18-24,M,BLACK,25-44,M,WHITE
25,204458419,False,25-44,M,BLACK,25-44,M,BLACK
26,236325239,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
27,215767017,True,25-44,M,BLACK,25-44,M,BLACK
28,174579221,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
29,190170259,False,18-24,M,BLACK HISPANIC,18-24,M,BLACK
30,234208836,False,25-44,M,BLACK,25-44,F,BLACK
31,168461315,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
32,237508167,True,UNKNOWN,U,UNKNOWN,25-44,M,WHITE HISPANIC
33,182363095,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
34,197997725,False,25-44,M,BLACK,18-24,M,BLACK
35,199247701,False,<18,M,WHITE,25-44,M,WHITE HISPANIC
36,168080334,False,25-44,M,BLACK,25-44,M,BLACK
37,222075197,False,18-24,M,WHITE HISPANIC,18-24,M,ASIAN / PACIFIC ISLANDER
38,169924413,True,45-64,M,BLACK,25-44,M,BLACK
39,217077237,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
40,229507142,True,25-44,M,BLACK,25-44,M,BLACK
41,229507546,False,25-44,M,BLACK,25-44,F,BLACK
42,160509155,False,18-24,M,BLACK,18-24,M,BLACK
43,226654025,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
44,236362255,False,<18,M,BLACK,18-24,M,BLACK
45,231635823,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
46,235839217,False,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC
47,186606589,False,18-24,M,BLACK,18-24,M,BLACK
48,229540933,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
49,235116950,False,18-24,M,BLACK,25-44,M,BLACK
50,238009968,True,25-44,M,BLACK,25-44,M,BLACK HISPANIC
51,168306062,False,18-24,M,BLACK,18-24,M,BLACK
52,216692583,False,18-24,M,BLACK,25-44,M,BLACK
53,228109390,True,25-44,M,BLACK,25-44,M,BLACK
54,238344522,True,UNKNOWN,U,UNKNOWN,45-64,M,BLACK
55,179645492,True,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
56,229507545,True,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC
57,213922505,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK HISPANIC
58,166951006,True,25-44,M,BLACK,18-24,M,BLACK
59,216651448,False,18-24,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC
60,168528147,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
61,174579540,True,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
62,186606592,False,25-44,M,BLACK,18-24,F,BLACK
63,227665924,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
64,220154695,False,UNKNOWN,U,UNKNOWN,<18,M,BLACK
65,170307135,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
66,215817239,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
67,216056537,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
68,233147094,False,UNKNOWN,U,UNKNOWN,<18,M,BLACK
69,183565220,True,18-24,M,BLACK,25-44,M,BLACK
70,235857196,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC
71,211065733,False,25-44,M,BLACK,25-44,M,BLACK
72,232924791,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
73,238312741,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
74,223928176,False,UNKNOWN,U,UNKNOWN,45-64,M,BLACK
75,201851566,True,25-44,M,BLACK,18-24,M,WHITE HISPANIC
76,207701108,True,25-44,M,BLACK,25-44,M,BLACK
77,228798150,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
78,216351812,False,18-24,M,BLACK,25-44,M,BLACK HISPANIC
79,230448906,False,UNKNOWN,U,UNKNOWN,25-44,F,WHITE HISPANIC
80,214184464,False,UNKNOWN,U,UNKNOWN,45-64,M,BLACK
81,196364281,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
82,199467225,False,18-24,M,BLACK,25-44,M,BLACK
83,197706724,False,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC
84,229542172,False,25-44,M,BLACK,18-24,M,BLACK
85,236094286,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
86,220863880,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC
87,167343776,False,UNKNOWN,U,UNKNOWN,<18,M,BLACK HISPANIC
88,189046703,False,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC
89,234475687,True,45-64,M,BLACK,25-44,M,BLACK
90,207572465,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK HISPANIC
91,197953467,False,18-24,M,BLACK,<18,M,BLACK
92,206843560,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK HISPANIC
93,206873499,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
94,199786226,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
95,227089382,False,UNKNOWN,U,UNKNOWN,45-64,M,BLACK
96,222539215,True,18-24,M,BLACK,18-24,M,BLACK
97,228109390,False,25-44,M,BLACK,18-24,M,BLACK
98,222717380,False,45-64,M,BLACK,45-64,M,BLACK
99,170219562,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
100,183190791,False,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC
101,213550053,True,25-44,M,BLACK,25-44,M,BLACK
102,178740662,False,<18,M,BLACK,18-24,M,WHITE HISPANIC
103,222932692,True,<18,M,BLACK,<18,M,BLACK
104,163255150,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
105,231369853,False,25-44,M,WHITE HISPANIC,45-64,M,BLACK HISPANIC
106,222524733,False,UNKNOWN,U,UNKNOWN,<18,M,BLACK
107,171254027,True,18-24,M,BLACK,18-24,M,BLACK
108,170264299,False,18-24,F,WHITE HISPANIC,25-44,M,BLACK
109,185390947,False,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC
110,212170023,True,25-44,M,BLACK,25-44,M,BLACK
111,229822334,False,UNKNOWN,U,UNKNOWN,<18,F,BLACK HISPANIC
112,203676928,False,25-44,M,BLACK,25-44,M,BLACK
113,171292987,False,18-24,M,BLACK,45-64,M,BLACK
114,197293452,False,18-24,M,BLACK,18-24,M,BLACK
115,171126115,True,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
116,230448650,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
